{'loss': 0.1351787410343012, 'epoch': 49, 'accuracy': 0.95264, 'mode': 'train'}
{'loss': 0.36300143006311103, 'epoch': 49, 'accuracy': 0.8867, 'mode': 'test'}
{'loss': 0.1208075447260495, 'epoch': 50, 'accuracy': 0.95824, 'mode': 'train'}
{'loss': 0.3568245654652833, 'epoch': 50, 'accuracy': 0.8897, 'mode': 'test'}
{'loss': 0.13121635812665797, 'epoch': 51, 'accuracy': 0.95376, 'mode': 'train'}
{'loss': 0.44519333484446183, 'epoch': 51, 'accuracy': 0.8689, 'mode': 'test'}
{'loss': 0.1257994194345935, 'epoch': 52, 'accuracy': 0.95618, 'mode': 'train'}
{'loss': 0.4441747354094389, 'epoch': 52, 'accuracy': 0.869, 'mode': 'test'}
{'loss': 0.12502273627559224, 'epoch': 53, 'accuracy': 0.95664, 'mode': 'train'}
{'loss': 0.391679892209685, 'epoch': 53, 'accuracy': 0.8811, 'mode': 'test'}
{'loss': 0.1282738177748896, 'epoch': 54, 'accuracy': 0.95562, 'mode': 'train'}
{'loss': 0.35270995689425494, 'epoch': 54, 'accuracy': 0.8886, 'mode': 'test'}
{'loss': 0.12387080912185293, 'epoch': 55, 'accuracy': 0.95542, 'mode': 'train'}
{'loss': 0.38550101766350925, 'epoch': 55, 'accuracy': 0.8869, 'mode': 'test'}
{'loss': 0.117419524904331, 'epoch': 56, 'accuracy': 0.96008, 'mode': 'train'}
{'loss': 0.34477526623352334, 'epoch': 56, 'accuracy': 0.894, 'mode': 'test'}
{'loss': 0.11950218402173209, 'epoch': 57, 'accuracy': 0.95794, 'mode': 'train'}
{'loss': 0.4892435942296012, 'epoch': 57, 'accuracy': 0.8623, 'mode': 'test'}
{'loss': 0.11581262345890249, 'epoch': 58, 'accuracy': 0.95936, 'mode': 'train'}
{'loss': 0.36563204480394446, 'epoch': 58, 'accuracy': 0.8846, 'mode': 'test'}
{'loss': 0.11795573615376137, 'epoch': 59, 'accuracy': 0.95928, 'mode': 'train'}
{'loss': 0.36611607129786433, 'epoch': 59, 'accuracy': 0.8889, 'mode': 'test'}
{'loss': 0.11554457514982698, 'epoch': 60, 'accuracy': 0.95958, 'mode': 'train'}
{'loss': 0.38289556429264626, 'epoch': 60, 'accuracy': 0.8855, 'mode': 'test'}
{'loss': 0.1196208388956688, 'epoch': 61, 'accuracy': 0.95886, 'mode': 'train'}
{'loss': 0.3806887177430141, 'epoch': 61, 'accuracy': 0.8889, 'mode': 'test'}
{'loss': 0.1171161580040021, 'epoch': 62, 'accuracy': 0.95878, 'mode': 'train'}
{'loss': 0.36984551612548777, 'epoch': 62, 'accuracy': 0.8837, 'mode': 'test'}
{'loss': 0.11517268386395538, 'epoch': 63, 'accuracy': 0.96018, 'mode': 'train'}
{'loss': 0.45217171491710995, 'epoch': 63, 'accuracy': 0.8704, 'mode': 'test'}
{'loss': 0.11734662872388989, 'epoch': 64, 'accuracy': 0.95912, 'mode': 'train'}
{'loss': 0.3764185043182342, 'epoch': 64, 'accuracy': 0.8885, 'mode': 'test'}
{'loss': 0.11715841781147911, 'epoch': 65, 'accuracy': 0.9591, 'mode': 'train'}
{'loss': 0.3703689343610385, 'epoch': 65, 'accuracy': 0.8878, 'mode': 'test'}
{'loss': 0.11633476219556814, 'epoch': 66, 'accuracy': 0.95976, 'mode': 'train'}
{'loss': 0.34874593438046775, 'epoch': 66, 'accuracy': 0.8905, 'mode': 'test'}
{'loss': 0.11482773278661222, 'epoch': 67, 'accuracy': 0.95944, 'mode': 'train'}
{'loss': 0.4132755638877296, 'epoch': 67, 'accuracy': 0.878, 'mode': 'test'}
{'loss': 0.11674660698170088, 'epoch': 68, 'accuracy': 0.9592, 'mode': 'train'}
{'loss': 0.3562072636025726, 'epoch': 68, 'accuracy': 0.8883, 'mode': 'test'}
{'loss': 0.1181230912428073, 'epoch': 69, 'accuracy': 0.95822, 'mode': 'train'}
{'loss': 0.31114418163990515, 'epoch': 69, 'accuracy': 0.9011, 'mode': 'test'}
{'loss': 0.11711958902018604, 'epoch': 70, 'accuracy': 0.95842, 'mode': 'train'}
{'loss': 0.4510415825209801, 'epoch': 70, 'accuracy': 0.8697, 'mode': 'test'}
{'loss': 0.10480988568738293, 'epoch': 71, 'accuracy': 0.96416, 'mode': 'train'}
{'loss': 0.3519335717057726, 'epoch': 71, 'accuracy': 0.8928, 'mode': 'test'}
{'loss': 0.11741906517873638, 'epoch': 72, 'accuracy': 0.9587, 'mode': 'train'}
{'loss': 0.3859244231490572, 'epoch': 72, 'accuracy': 0.8857, 'mode': 'test'}
{'loss': 0.1126188402876373, 'epoch': 73, 'accuracy': 0.96104, 'mode': 'train'}
{'loss': 0.37108120701874886, 'epoch': 73, 'accuracy': 0.8888, 'mode': 'test'}
{'loss': 0.10980939855108333, 'epoch': 74, 'accuracy': 0.96062, 'mode': 'train'}
{'loss': 0.33508176147747937, 'epoch': 74, 'accuracy': 0.8975, 'mode': 'test'}
{'loss': 0.1066611345352419, 'epoch': 75, 'accuracy': 0.96298, 'mode': 'train'}
{'loss': 0.33882362125026216, 'epoch': 75, 'accuracy': 0.8963, 'mode': 'test'}
{'loss': 0.11316704521875089, 'epoch': 76, 'accuracy': 0.96036, 'mode': 'train'}
{'loss': 0.39266691617904936, 'epoch': 76, 'accuracy': 0.8859, 'mode': 'test'}
{'loss': 0.10993746015459988, 'epoch': 77, 'accuracy': 0.9619, 'mode': 'train'}
{'loss': 0.3893682504915126, 'epoch': 77, 'accuracy': 0.8833, 'mode': 'test'}
{'loss': 0.11443343077359894, 'epoch': 78, 'accuracy': 0.95926, 'mode': 'train'}
{'loss': 0.3712494020249435, 'epoch': 78, 'accuracy': 0.8835, 'mode': 'test'}
{'loss': 0.10540790580536999, 'epoch': 79, 'accuracy': 0.9639, 'mode': 'train'}
{'loss': 0.40984857618618925, 'epoch': 79, 'accuracy': 0.8851, 'mode': 'test'}
{'loss': 0.10419517668330913, 'epoch': 80, 'accuracy': 0.96382, 'mode': 'train'}
{'loss': 0.3997493417589526, 'epoch': 80, 'accuracy': 0.8834, 'mode': 'test'}
{'loss': 0.038183429642863934, 'epoch': 81, 'accuracy': 0.98824, 'mode': 'train'}
{'loss': 0.22695207137875495, 'epoch': 81, 'accuracy': 0.929, 'mode': 'test'}
{'loss': 0.014524630792534278, 'epoch': 82, 'accuracy': 0.99738, 'mode': 'train'}
{'loss': 0.22414740820409382, 'epoch': 82, 'accuracy': 0.933, 'mode': 'test'}
{'loss': 0.009587154244942121, 'epoch': 83, 'accuracy': 0.99886, 'mode': 'train'}
{'loss': 0.22827114174320448, 'epoch': 83, 'accuracy': 0.9335, 'mode': 'test'}
{'loss': 0.0067085563955480735, 'epoch': 84, 'accuracy': 0.9994, 'mode': 'train'}
{'loss': 0.22448316895088583, 'epoch': 84, 'accuracy': 0.9354, 'mode': 'test'}
{'loss': 0.005805204586719002, 'epoch': 85, 'accuracy': 0.99954, 'mode': 'train'}
{'loss': 0.2266250274078861, 'epoch': 85, 'accuracy': 0.9348, 'mode': 'test'}
{'loss': 0.004691207176431665, 'epoch': 86, 'accuracy': 0.99972, 'mode': 'train'}
{'loss': 0.22724492684196504, 'epoch': 86, 'accuracy': 0.9362, 'mode': 'test'}
{'loss': 0.004005829934650066, 'epoch': 87, 'accuracy': 0.99976, 'mode': 'train'}
{'loss': 0.23144147746786947, 'epoch': 87, 'accuracy': 0.9352, 'mode': 'test'}
{'loss': 0.0035704533948236724, 'epoch': 88, 'accuracy': 0.9998, 'mode': 'train'}
{'loss': 0.23236922381125447, 'epoch': 88, 'accuracy': 0.9351, 'mode': 'test'}
{'loss': 0.0031323154335436577, 'epoch': 89, 'accuracy': 0.99986, 'mode': 'train'}
{'loss': 0.23092179458327355, 'epoch': 89, 'accuracy': 0.9362, 'mode': 'test'}
{'loss': 0.002842128591235639, 'epoch': 90, 'accuracy': 0.99994, 'mode': 'train'}
{'loss': 0.23246265698675134, 'epoch': 90, 'accuracy': 0.9373, 'mode': 'test'}
{'loss': 0.0026545836340131014, 'epoch': 91, 'accuracy': 0.99996, 'mode': 'train'}
{'loss': 0.23077612894640603, 'epoch': 91, 'accuracy': 0.9367, 'mode': 'test'}
{'loss': 0.002389573927997324, 'epoch': 92, 'accuracy': 0.99998, 'mode': 'train'}
{'loss': 0.23043886128409657, 'epoch': 92, 'accuracy': 0.9373, 'mode': 'test'}
{'loss': 0.0022980364282493963, 'epoch': 93, 'accuracy': 1.0, 'mode': 'train'}
{'loss': 0.23280814294792282, 'epoch': 93, 'accuracy': 0.9368, 'mode': 'test'}
{'loss': 0.0021505535954176, 'epoch': 94, 'accuracy': 0.99994, 'mode': 'train'}
{'loss': 0.23303929723467054, 'epoch': 94, 'accuracy': 0.9369, 'mode': 'test'}
{'loss': 0.0020761114147389323, 'epoch': 95, 'accuracy': 0.99996, 'mode': 'train'}
{'loss': 0.23053068881201894, 'epoch': 95, 'accuracy': 0.9373, 'mode': 'test'}
{'loss': 0.0019166785509080221, 'epoch': 96, 'accuracy': 1.0, 'mode': 'train'}
{'loss': 0.22991067382275676, 'epoch': 96, 'accuracy': 0.9375, 'mode': 'test'}
{'loss': 0.0019486815861576355, 'epoch': 97, 'accuracy': 0.99994, 'mode': 'train'}
{'loss': 0.23197510425642034, 'epoch': 97, 'accuracy': 0.9371, 'mode': 'test'}
{'loss': 0.001756970415754089, 'epoch': 98, 'accuracy': 1.0, 'mode': 'train'}
{'loss': 0.2303124351581191, 'epoch': 98, 'accuracy': 0.9381, 'mode': 'test'}
{'loss': 0.0017600434896586198, 'epoch': 99, 'accuracy': 1.0, 'mode': 'train'}
{'loss': 0.23283885224799455, 'epoch': 99, 'accuracy': 0.9363, 'mode': 'test'}
{'loss': 0.0017902276066639215, 'epoch': 100, 'accuracy': 0.99998, 'mode': 'train'}
{'loss': 0.23165485941490543, 'epoch': 100, 'accuracy': 0.9375, 'mode': 'test'}
