{'loss': 0.39025878678461556, 'mode': 'test', 'epoch': 55, 'accuracy': 0.8787}
{'loss': 0.1281252900171843, 'mode': 'train', 'epoch': 56, 'accuracy': 0.95568}
{'loss': 0.449953366474361, 'mode': 'test', 'epoch': 56, 'accuracy': 0.8618}
{'loss': 0.119224290542133, 'mode': 'train', 'epoch': 57, 'accuracy': 0.95816}
{'loss': 0.3588221183248388, 'mode': 'test', 'epoch': 57, 'accuracy': 0.8896}
{'loss': 0.12261916789919376, 'mode': 'train', 'epoch': 58, 'accuracy': 0.95718}
{'loss': 0.43766490868322433, 'mode': 'test', 'epoch': 58, 'accuracy': 0.8685}
{'loss': 0.12576307859891053, 'mode': 'train', 'epoch': 59, 'accuracy': 0.95592}
{'loss': 0.4373816805090873, 'mode': 'test', 'epoch': 59, 'accuracy': 0.8734}
{'loss': 0.12282564514852543, 'mode': 'train', 'epoch': 60, 'accuracy': 0.95712}
{'loss': 0.36598861587655035, 'mode': 'test', 'epoch': 60, 'accuracy': 0.8837}
{'loss': 0.12214871014342141, 'mode': 'train', 'epoch': 61, 'accuracy': 0.95658}
{'loss': 0.38112527976749805, 'mode': 'test', 'epoch': 61, 'accuracy': 0.8893}
{'loss': 0.12402856823943019, 'mode': 'train', 'epoch': 62, 'accuracy': 0.9553}
{'loss': 0.3221739788249041, 'mode': 'test', 'epoch': 62, 'accuracy': 0.8988}
{'loss': 0.1088666003530897, 'mode': 'train', 'epoch': 63, 'accuracy': 0.9624}
{'loss': 0.39043013680322913, 'mode': 'test', 'epoch': 63, 'accuracy': 0.8825}
{'loss': 0.11411408948071336, 'mode': 'train', 'epoch': 64, 'accuracy': 0.96032}
{'loss': 0.3833443418999386, 'mode': 'test', 'epoch': 64, 'accuracy': 0.8827}
{'loss': 0.12377060531540907, 'mode': 'train', 'epoch': 65, 'accuracy': 0.95748}
{'loss': 0.3827761898564685, 'mode': 'test', 'epoch': 65, 'accuracy': 0.8832}
{'loss': 0.12111604612444514, 'mode': 'train', 'epoch': 66, 'accuracy': 0.95704}
{'loss': 0.3680251757999892, 'mode': 'test', 'epoch': 66, 'accuracy': 0.8924}
{'loss': 0.11580644736585717, 'mode': 'train', 'epoch': 67, 'accuracy': 0.95884}
